Species,Species_with_underscore,Formatted_species,Suborder,Family,Territorial,Male territorial polymorphism,Aggressiveness,Lek,Male site fidelity (length of time) ,Territory size,Sex polymorphisms,Sex dimorphisms,Geo polymorphism,Mass of male,Mass of female,Male body length (mm),Max male body length,Female body length (mm),Max female body length,Length of male tibia (mm),Male forewing length,Male hindwing length (mm),Female forewing length (mm),Female hindwing length (mm),Species distribution,Migratory,JNCC Red List status,Conservation status IUCN,Extinction risk category,Oviposition type (endophytic vs exophytic),Oviposition substrate,Oviposition,Temporary vs permanent oviposition site,Number of oviposition sites,Lotic vs lentic (breeding habitat),Habitat breadth,Flier vs percher,Mate guarding,Agonistic display,Courtship,Aquatic habitat,Ecozone,Climate,Habitat openness,Body pattern,Body colourtype,Body colour,Territorial wing pigmentation,Non-territorial wing pigmentation,Wing pigmentation,Wing pigment pattern,Wing pigment extent discrete,Wing pigment extent continuous,Wing pigment symmetry,Wing pigment dimorphism,Wing pigment colour,Wing pigment placement,Wing pigment colour type,Male wing pigment,Female wing pigment,Sexual wing dichromatism,Male or female biased sexual wing dichromatism,Male dark score,Female dark score,Mean annual temperature,Female has wing pigment (waller 2019),Female wing pigment extent discrete,Female wing pigment extent continuous,Female wing pigment placement,Flight period - start,Flight period - end,Flight period duration (months),Reference,Original source,Original source #2,Original source #3,Original source #4,Original source males,Original source females,Original source - body size,Original source - flight period,Original source - distribution status,Original source - migratory,Original source - distribution status,Original source - red list,Original source - oviposition,Original source - breeding habitat,Original source - breeding habitat
Sympetrum internum,Sympetrum_internum,Sympetrum_internum,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latty 2006,,,,,,,,,,,,,,,
Sympetrum corruptum,Sympetrum_corruptum,Sympetrum_corruptum,Anisoptera,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Dunkle, 2000)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,,,
Sympetrum illotum,Sympetrum_illotum,Sympetrum_illotum,Anisoptera,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Manolis, 2003)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,,,
Telebasis salva ,Telebasis_salva_,Telebasis_salva,Zygoptera,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Manolis, 2003)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,,,
Tramea lacerata,Tramea_lacerata,Tramea_lacerata,Anisoptera,,Yes,,,,,,,,,,,,,,,,,,,,Widely,,,,,,"Open water, Algae mats",Tandem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thornton and Switzer 2015,,,,,,,,,,,,,,,
Tramea lacerata,Tramea_lacerata,Tramea_lacerata,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","Colección Nacional de Insectos, Instituto de Biología, UNAM, Mexico","(Manolis, 2003)",,,,,,,,,,,,,
Tramea onusta,Tramea_onusta,Tramea_onusta,Anisoptera,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Reyes-Márquez et al., 2021","(Dunkle, 2000)","Natural History Museum, Odonata collection, UK",,,,,,,,,,,,,
Zygonyx torridus,Zygonyx_torridus,Zygonyx_torridus,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Both,,Both,Both,,,Both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Martens 2015,,,,,,,,,,,,,,,
Acisoma panorpoides,Acisoma_panorpoides,Acisoma_panorpoides,Anisoptera,,Yes,,,,,1.3^2,,,,99.65,,,,,,,,22,,,,,,,,,,,,,Lotic,,Percher,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Hassan, 1978)",,,,,,,,,,,,,,
Aeshna cyanea,Aeshna_cyanea,Aeshna_cyanea,Anisoptera,,Yes,,,,,110.0^2,,,,562.33,,,,,,,,48,,,,,,,,,,,,,Lotic,,Flier,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Poethke & Kaiser, 1987)",,,,,,,,,,,,,,
Aeshna mixta,Aeshna_mixta,Aeshna_mixta,Anisoptera,,Yes,,,,,10.0^2,,,,445.15,,,,,,,,43.2,,,,,,,,,,,,,Lotic,,Flier,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Sonehara, 1964)",,,,,,,,,,,,,,
Agriocnemis femina,Agriocnemis_femina,Agriocnemis_femina,Zygoptera,,Yes,,,,,0.2^2,,,,9.47,,,,,,,,9.7,,,,,,,,,,,,,Lotic,,Percher,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Ikeda & Sawano, 1965)",,,,,,,,,,,,,,
Anax papuensis,Anax_papuensis,Anax_papuensis,Anisoptera,,Yes,,,,,1800.0^2,,,,623.85,,,,,,,,50.3,,,,,,,,,,,,,Lotic,,Flier,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Rowe, 1987)",,,,,,,,,,,,,,
Anax parthenope,Anax_parthenope,Anax_parthenope,Anisoptera,,Yes,,,,,1590.0^2,,,,562.33,,,,,,,,48,,,,,,,,,,,,,Lotic,,Flier,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Sakagami et al., 1974)",,,,,,,,,,,,,,
Anax walsinghami,Anax_walsinghami,Anax_walsinghami,Anisoptera,,Yes,,,,,28.0^2,,,,974.37,,,,,,,,61.5,,,,,,,,,,,,,Lentic,,Flier,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Córdoba-Aguilar, 1995)",,,,,,,,,,,,,,
Argia chelata,Argia_chelata,Argia_chelata,Zygoptera,,Yes,,,,,2.5^2,,,,45.86,,,,,,,,22.7,,,,,,,,,,,,,Lentic,,Percher,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Hamilton & Montgomerie, 1989)",,,,,,,,,,,,,,
Austrolestes colensonis,Austrolestes_colensonis,Austrolestes_colensonis,Zygoptera,,Yes,,,,,7.1^2,,,,52.04,,,,,,,,24.3,,,,,,,,,,,,,Lotic,,Percher,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Corbet, 1999)",,,,,,,,,,,,,,
Brechmorhoga pertinax,Brechmorhoga_pertinax,Brechmorhoga_pertinax,Anisoptera,,Yes,,,,,10.0^2,,,,236.79,,,,,,,,32.5,,,,,,,,,,,,,Lentic,,Flier,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Alcock, 1987)",,,,,,,,,,,,,,
Brechmorhoga vivax,Brechmorhoga_vivax,Brechmorhoga_vivax,Anisoptera,,Yes,,,,,42.8^2,,,,279.09,,,,,,,,35,,,,,,,,,,,,,Lentic,,Flier,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Córdoba-Aquilar, 1994)",,,,,,,,,,,,,,
Cacoides latro,Cacoides_latro,Cacoides_latro,Anisoptera,,Yes,,,,,53.0^2,,,,445.2,,,,,,,,43.2,,,,,,,,,,,,,Lotic,,Percher,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Moore & Machado, 1992)",,,,,,,,,,,,,,
Calopteryx haemorrhoidalis,Calopteryx_haemorrhoidalis,Calopteryx_haemorrhoidalis,Zygoptera,,Yes,,,,,5.4^2,,,,87.71,,,,,,,,32.2,,,,,,,,,,,,,Lentic,,Percher,,,,,,,,,,,,,yes,Spots,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Heymer, 1972)",,,,,,,,,,,,,,
Calopteryx splendens,Calopteryx_splendens,Calopteryx_splendens,Zygoptera,,Yes,,,,,2.3^2,,,,84.21,,,,,,,,31.5,,,,,,,,,,,,,Lentic,,Percher,,,,,,,,,,,,,yes,Spots,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Zahner, 1960)",,,,,,,,,,,,,,
Calopteryx virgo,Calopteryx_virgo,Calopteryx_virgo,Zygoptera,,Yes,,,,,1.3^2,,,,76.92,,,,,,,,30,,,,,,,,,,,,,Lentic,,Percher,,,,,,,,,,,,,yes,Spots,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Zahner, 1960)",,,,,,,,,,,,,,
Chalcolestes viridis,Chalcolestes_viridis,Chalcolestes_viridis,Zygoptera,,Yes,,,,,6.0^2,,,,58.57,,,,,,,,25.9,,,,,,,,,,,,,Lotic,,Percher,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Corbet & May, 2008)",,,,,,,,,,,,,,
Copera annulata,Copera_annulata,Copera_annulata,Zygoptera,,Yes,,,,,0.2^2,,,,47.47,,,,,,,,23.1,,,,,,,,,,,,,Lotic,,Percher,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Chowdhury & Karim, 1994)",,,,,,,,,,,,,,
Copera marginipes,Copera_marginipes,Copera_marginipes,Zygoptera,,Yes,,,,,0.2^2,,,,31.69,,,,,,,,18.6,,,,,,,,,,,,,Lentic,,Percher,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Furtado, 1974)",,,,,,,,,,,,,,
Copera vittata,Copera_vittata,Copera_vittata,Zygoptera,,Yes,,,,,0.2^2,,,,26.8,,,,,,,,17,,,,,,,,,,,,,Lentic,,Percher,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Furtado, 1974)",,,,,,,,,,,,,,
Cordulia aenea,Cordulia_aenea,Cordulia_aenea,Anisoptera,,Yes,,,,,30.0^2,,,,308.18,,,,,,,,36.6,,,,,,,,,,,,,Lotic,,Flier,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(May, 1981)",,,,,,,,,,,,,,
Cordulia shurtleffii,Cordulia_shurtleffii,Cordulia_shurtleffii,Anisoptera,,Yes,,,,,35.0^2,,,,205.67,,,,,,,,30.5,,,,,,,,,,,,,Lotic,,Flier,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Hilton, 1983)",,,,,,,,,,,,,,
Coryphaeschna adnexa,Coryphaeschna_adnexa,Coryphaeschna_adnexa,Anisoptera,,Yes,,,,,3.0^2,,,,452.03,,,,,,,,43.5,,,,,,,,,,,,,Lotic,,Flier,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Dunkle, 1989)",,,,,,,,,,,,,,
Coryphaeschna diapyra,Coryphaeschna_diapyra,Coryphaeschna_diapyra,Anisoptera,,Yes,,,,,12.0^2,,,,610.18,,,,,,,,49.8,,,,,,,,,,,,,Lentic,,Flier,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Paulson, 1994)",,,,,,,,,,,,,,
Crocothemis servilia,Crocothemis_servilia,Crocothemis_servilia,Anisoptera,,Yes,,,,,4.3^2,,,,289.81,,,,,,,,35.6,,,,,,,,,,,,,Lotic,,Percher,,,,,,,,,,,,,yes,Spots,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Mitra, 1994)",,,,,,,,,,,,,,
Disparoneura quadrimaculata,Disparoneura_quadrimaculata,Disparoneura_quadrimaculata,Zygoptera,,Yes,,,,,1.0^2,,,,42.18,,,,,,,,21.7,,,,,,,,,,,,,Lentic,,Percher,,,,,,,,,,,,,yes,Spots,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Corbet & May, 2008)",,,,,,,,,,,,,,
Epitheca cynosura,Epitheca_cynosura,Epitheca_cynosura,Anisoptera,,Yes,,,,,12.0^2,,,,155.66,,,,,,,,26.9,,,,,,,,,,,,,Lentic,,Flier,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Kormondy, 1961)",,,,,,,,,,,,,,
Epitheca princeps,Epitheca_princeps,Epitheca_princeps,Anisoptera,,Yes,,,,,9.0^2,,,,489.74,,,,,,,,45.1,,,,,,,,,,,,,Lentic,,Flier,,,,,,,,,,,,,yes,Spots,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Hutchinson, 1977)",,,,,,,,,,,,,,
Erythemis simplicicollis,Erythemis_simplicicollis,Erythemis_simplicicollis,Anisoptera,,Yes,,,,,13.0^2,,,,211.7,,,,,,,,30.9,,,,,,,,,,,,,Lotic,,Percher,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(McVey, 1988)",,,,,,,,,,,,,,
Erythromma lindenii,Erythromma_lindenii,Erythromma_lindenii,Zygoptera,,Yes,,,,,0.5^2,,,,40.4,,,,,,,,21.1,,,,,,,,,,,,,Lotic,,Percher,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Corbet & May, 2008)",,,,,,,,,,,,,,
Hemicordulia ogasawarensis,Hemicordulia_ogasawarensis,Hemicordulia_ogasawarensis,Anisoptera,,Yes,,,,,37.5^2,,,,236.79,,,,,,,,32.5,,,,,,,,,,,,,Lotic,,Flier,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Sakagami et al., 1974)",,,,,,,,,,,,,,
Hetaerina americana,Hetaerina_americana,Hetaerina_americana,Zygoptera,,Yes,,,,,2.5^2,,,,67.68,,,,,,,,28,,,,,,,,,,,,,Lentic,,Percher,,,,,,,,,,,,,yes,Spots,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Grether, 1996)",,,,,,,,,,,,,,
Hetaerina miniata,Hetaerina_miniata,Hetaerina_miniata,Zygoptera,,Yes,,,,,1.1^2,,,,65.92,,,,,,,,27.6,,,,,,,,,,,,,Lotic,,Percher,,,,,,,,,,,,,yes,Spots,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Corbet & May, 2008)",,,,,,,,,,,,,,
Ictinogomphus ferox,Ictinogomphus_ferox,Ictinogomphus_ferox,Anisoptera,,Yes,,,,,50.0^2,,,,407.22,,,,,,,,41.5,,,,,,,,,,,,,Lotic,,Percher,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Miller, 1964)",,,,,,,,,,,,,,
Ladona julia,Ladona_julia,Ladona_julia,Anisoptera,,Yes,,,,,35.0^2,,,,213.23,,,,,,,,31,,,,,,,,,,,,,Lotic,,Percher,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Hilton, 1983b)",,,,,,,,,,,,,,
Leucorrhinia caudalis,Leucorrhinia_caudalis,Leucorrhinia_caudalis,Anisoptera,,Yes,,,,,13.0^2,,,,228.78,,,,,,,,32,,,,,,,,,,,,,Lotic,,Percher,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Pajunen, 1964)",,,,,,,,,,,,,,
Leucorrhinia frigida,Leucorrhinia_frigida,Leucorrhinia_frigida,Anisoptera,,Yes,,,,,12.6^2,,,,104.75,,,,,,,,22.5,,,,,,,,,,,,,Lotic,,Percher,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Singer, 1989)",,,,,,,,,,,,,,
Leucorrhinia hudsonica,Leucorrhinia_hudsonica,Leucorrhinia_hudsonica,Anisoptera,,Yes,,,,,1.0^2,,,,126.52,,,,,,,,24.5,,,,,,,,,,,,,Lotic,,Percher,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Corbet & May, 2008)",,,,,,,,,,,,,,
Leucorrhinia intacta,Leucorrhinia_intacta,Leucorrhinia_intacta,Anisoptera,,Yes,,,,,12.6^2,,,,120.87,,,,,,,,24,,,,,,,,,,,,,Lotic,,Percher,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Singer, 1989)",,,,,,,,,,,,,,
Leucorrhinia proxima,Leucorrhinia_proxima,Leucorrhinia_proxima,Anisoptera,,Yes,,,,,12.6^2,,,,138.26,,,,,,,,25.5,,,,,,,,,,,,,Lotic,,Percher,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Singer, 1989)",,,,,,,,,,,,,,
Libellago aurantiaca,Libellago_aurantiaca,Libellago_aurantiaca,Zygoptera,,Yes,,,,,4.0^2,,,,24.81,,,,,,,,16.3,,,,,,,,,,,,,Lentic,,Percher,,,,,,,,,,,,,yes,Spots,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Orr, 1996)",,,,,,,,,,,,,,
Libellago hyalina,Libellago_hyalina,Libellago_hyalina,Zygoptera,,Yes,,,,,5.0^2,,,,26.82,,,,,,,,17,,,,,,,,,,,,,Lentic,,Percher,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Orr, 1996)",,,,,,,,,,,,,,
Libellago semiopaca,Libellago_semiopaca,Libellago_semiopaca,Zygoptera,,Yes,,,,,4.9^2,,,,27.71,,,,,,,,17.3,,,,,,,,,,,,,Lentic,,Percher,,,,,,,,,,,,,yes,Spots,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Orr, 1996)",,,,,,,,,,,,,,
Libellula pulchella,Libellula_pulchella,Libellula_pulchella,Anisoptera,,Yes,,,,,100.0^2,,,,449.73,,,,,,,,43.4,,,,,,,,,,,,,Lotic,,Percher,,,,,,,,,,,,,yes,Spots,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Corbet & May, 2008)",,,,,,,,,,,,,,
Lindenia tetraphylla,Lindenia_tetraphylla,Lindenia_tetraphylla,Anisoptera,,Yes,,,,,80.0^2,,,,334.93,,,,,,,,38,,,,,,,,,,,,,Lotic,,Percher,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Dumont, 1977)",,,,,,,,,,,,,,
Macromia amphigena,Macromia_amphigena,Macromia_amphigena,Anisoptera,,Yes,,,,,100.0^2,,,,499.42,,,,,,,,45.5,,,,,,,,,,,,,Lotic,,Flier,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Koyama, 1976)",,,,,,,,,,,,,,
Microstigma rotundatum,Microstigma_rotundatum,Microstigma_rotundatum,Zygoptera,,Yes,,,,,28.0^2,,,,324.66,,,,,,,,65.2,,,,,,,,,,,,,Lotic,,Percher,,,,,,,,,,,,,yes,Spots,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(De Marmels, 1989)",,,,,,,,,,,,,,
Mnais pruinosa,Mnais_pruinosa,Mnais_pruinosa,Zygoptera,,Yes,,,,,154.0^2,,,,139.81,,,,,,,,41.4,,,,,,,,,,,,,Lentic,,Percher,,,,,,,,,,,,,yes,Spots,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Ubukata, 1977)",,,,,,,,,,,,,,
Nannophya pygmaea,Nannophya_pygmaea,Nannophya_pygmaea,Anisoptera,,Yes,,,,,0.3^2,,,,32.64,,,,,,,,13.3,,,,,,,,,,,,,Lotic,,Percher,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Yamamoto, 1968)",,,,,,,,,,,,,,
Nannothemis bella,Nannothemis_bella,Nannothemis_bella,Anisoptera,,Yes,,,,,1.2^2,,,,44.53,,,,,,,,15.3,,,,,,,,,,,,,Lotic,,Percher,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Lee & McGinn, 1986)",,,,,,,,,,,,,,
Nesciothemis nigeriensis,Nesciothemis_nigeriensis,Nesciothemis_nigeriensis,Anisoptera,,Yes,,,,,32.0^2,,,,291.62,,,,,,,,35.7,,,,,,,,,,,,,Lotic,,Percher,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Parr & Parr, 1974)",,,,,,,,,,,,,,
Nososticta kalumburu,Nososticta_kalumburu,Nososticta_kalumburu,Zygoptera,,Yes,,,,,0.5^2,,,,35.6,,,,,,,,19.8,,,,,,,,,,,,,Lentic,,Percher,,,,,,,,,,,,,yes,Spots,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Thompson, 1990)",,,,,,,,,,,,,,
Orthetrum caledonicum,Orthetrum_caledonicum,Orthetrum_caledonicum,Anisoptera,,Yes,,,,,7.0^2,,,,240.03,,,,,,,,32.7,,,,,,,,,,,,,Lentic,,Percher,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Alcock, 1988)",,,,,,,,,,,,,,
Orthetrum cancellatum,Orthetrum_cancellatum,Orthetrum_cancellatum,Anisoptera,,Yes,,,,,60.0^2,,,,334.93,,,,,,,,38,,,,,,,,,,,,,Lentic,,Percher,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Krüner, 1977)",,,,,,,,,,,,,,
Orthetrum chrysostigma,Orthetrum_chrysostigma,Orthetrum_chrysostigma,Anisoptera,,Yes,,,,,1.6^2,,,,213.23,,,,,,,,31,,,,,,,,,,,,,Lentic,,Percher,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Miller, 1983)",,,,,,,,,,,,,,
Orthetrum coerulescens,Orthetrum_coerulescens,Orthetrum_coerulescens,Anisoptera,,Yes,,,,,7.5^2,,,,205.67,,,,,,,,30.5,,,,,,,,,,,,,Lentic,,Percher,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Parr, 1983)",,,,,,,,,,,,,,
Orthetrum japonicum,Orthetrum_japonicum,Orthetrum_japonicum,Anisoptera,,Yes,,,,,19.0^2,,,,244.94,,,,,,,,33,,,,,,,,,,,,,Lotic,,Percher,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Watanabe & Higashi, 1989)",,,,,,,,,,,,,,
Orthetrum julia,Orthetrum_julia,Orthetrum_julia,Anisoptera,,Yes,,,,,7.9^2,,,,243.3,,,,,,,,32.9,,,,,,,,,,,,,Lentic,,Percher,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Parr, 1980)",,,,,,,,,,,,,,
Orthetrum sabina,Orthetrum_sabina,Orthetrum_sabina,Anisoptera,,Yes,,,,,13.0^2,,,,308.18,,,,,,,,36.6,,,,,,,,,,,,,Lentic,,Percher,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Mitra, 1994)",,,,,,,,,,,,,,
Palpopleura sexmaculata,Palpopleura_sexmaculata,Palpopleura_sexmaculata,Anisoptera,,Yes,,,,,1.8^2,,,,63.85,,,,,,,,18,,,,,,,,,,,,,Lentic,,Percher,,,,,,,,,,,,,yes,Spots,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(P. Miller, 1991)",,,,,,,,,,,,,,
Pantala flavescens,Pantala_flavescens,Pantala_flavescens,Anisoptera,,Yes,,,,,364.0^2,,,,422.61,,,,,,,,42.2,,,,,,,,,,,,,Lotic,,Flier,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Moore, 1993)",,,,,,,,,,,,,,
Perithemis domitia,Perithemis_domitia,Perithemis_domitia,Anisoptera,,Yes,,,,,2.5^2,,,,76.26,,,,,,,,19.5,,,,,,,,,,,,,Lotic,,Percher,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(López & González-Soriano, 1980)",,,,,,,,,,,,,,
Perithemis tenera,Perithemis_tenera,Perithemis_tenera,Anisoptera,,Yes,,,,,19.6^2,,,,59.99,,,,,,,,17.5,,,,,,,,,,,,,Lotic,,Percher,,,,,,,,,,,,,yes,Spots,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Switzer & Eason, 2003)",,,,,,,,,,,,,,
Plathemis lydia,Plathemis_lydia,Plathemis_lydia,Anisoptera,,Yes,,,,,44.0^2,,,,258.31,,,,,,,,33.8,,,,,,,,,,,,,Lotic,,Percher,,,,,,,,,,,,,yes,Spots,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Jacobs, 1955)",,,,,,,,,,,,,,
Platycypha caligata,Platycypha_caligata,Platycypha_caligata,Zygoptera,,Yes,,,,,4.9^2,,,,48.52,,,,,,,,23.4,,,,,,,,,,,,,Lentic,,Percher,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Robertson, 1982)",,,,,,,,,,,,,,
Prodasineura verticalis,Prodasineura_verticalis,Prodasineura_verticalis,Zygoptera,,Yes,,,,,1.3^2,,,,40.4,,,,,,,,21.2,,,,,,,,,,,,,Lentic,,Percher,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Furtado, 1975)",,,,,,,,,,,,,,
Prodasineura collaris,Prodasineura_collaris,Prodasineura_collaris,Zygoptera,,Yes,,,,,0.8^2,,,,28.3,,,,,,,,17.5,,,,,,,,,,,,,Lotic,,Percher,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Furtado, 1975)",,,,,,,,,,,,,,
Pseudagrion decorum,Pseudagrion_decorum,Pseudagrion_decorum,Zygoptera,,Yes,,,,,0.5^2,,,,36.6,,,,,,,,20.1,,,,,,,,,,,,,Lotic,,Percher,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Corbet, 1999)",,,,,,,,,,,,,,
Pseudagrion hageni,Pseudagrion_hageni,Pseudagrion_hageni,Zygoptera,,Yes,,,,,0.8^2,,,,49.29,,,,,,,,23.6,,,,,,,,,,,,,Lotic,,Percher,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Meskin, 1986)",,,,,,,,,,,,,,
Pseudagrion microcephalum,Pseudagrion_microcephalum,Pseudagrion_microcephalum,Zygoptera,,Yes,,,,,0.4^2,,,,32.97,,,,,,,,19,,,,,,,,,,,,,Lentic,,Percher,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,"Aromaa et al., 2019","(Furtado, 1972)",,,,,,,,,,,,,,
